precision,computeUnit,shapeMode,label,iter,classification,wav_rms_int16,wav_peak_int16,has_nan,has_inf,mel_normalized_sha,encoder_output_sha,postnet_output_sha,waveform_postdeemph_sha,decoder_step1_mel_min,decoder_step1_mel_max,decoder_step1_mel_mean,decoder_step1_mel_sha,runId,run_dir
Float32,cpuOnly,fixed262,f32CpuRepeat3,3,normal_loud,5029.1,24326.4,false,false,35f61dbe02,3e2a21d1af,56ed1e49d0,a41e3880d6,-5.326035e-02,7.316651e-01,2.696740e-01,a04262d917865db3,20260519_213710_f32CpuRepeat3_Float32_cpuOnly,audio/iPhone_3_phase1_20260519/debug/20260519_213710_f32CpuRepeat3_Float32_cpuOnly
Float32,all,fixed262,f32AllRepeat1,1,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-7.523200e-02,6.570871e-01,1.152002e-01,05cfafa3895adaac,20260519_213834_f32AllRepeat1_Float32_all,audio/iPhone_3_phase1_20260519/debug/20260519_213834_f32AllRepeat1_Float32_all
Float32,all,fixed262,f32AllRepeat2,2,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-5.325249e-02,7.316687e-01,2.696745e-01,1d42a4648645c424,20260519_213957_f32AllRepeat2_Float32_all,audio/iPhone_3_phase1_20260519/debug/20260519_213957_f32AllRepeat2_Float32_all
Float32,all,fixed262,f32AllRepeat3,3,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-5.325249e-02,7.316687e-01,2.696745e-01,1d42a4648645c424,20260519_214121_f32AllRepeat3_Float32_all,audio/iPhone_3_phase1_20260519/debug/20260519_214121_f32AllRepeat3_Float32_all
Float32,cpuAndNE,fixed262,f32NeRepeat1,1,normal_loud,5029.1,24326.4,false,false,35f61dbe02,3e2a21d1af,56ed1e49d0,a41e3880d6,-7.523292e-02,6.570885e-01,1.152002e-01,4cc1f8388097fa6e,20260519_214248_f32NeRepeat1_Float32_cpuAndNE,audio/iPhone_3_phase1_20260519/debug/20260519_214248_f32NeRepeat1_Float32_cpuAndNE
Float32,cpuAndNE,fixed262,f32NeRepeat2,2,normal_loud,5029.1,24326.4,false,false,35f61dbe02,3e2a21d1af,56ed1e49d0,a41e3880d6,-5.326035e-02,7.316651e-01,2.696740e-01,a04262d917865db3,20260519_214415_f32NeRepeat2_Float32_cpuAndNE,audio/iPhone_3_phase1_20260519/debug/20260519_214415_f32NeRepeat2_Float32_cpuAndNE
Float32,cpuAndNE,fixed262,f32NeRepeat3,3,normal_loud,5029.1,24326.4,false,false,35f61dbe02,3e2a21d1af,56ed1e49d0,a41e3880d6,-5.326035e-02,7.316651e-01,2.696740e-01,a04262d917865db3,20260519_214541_f32NeRepeat3_Float32_cpuAndNE,audio/iPhone_3_phase1_20260519/debug/20260519_214541_f32NeRepeat3_Float32_cpuAndNE
Float16,cpuOnly,fixed262,f16CpuRepeat1,1,normal_loud,4911.9,25432.5,false,false,35f61dbe02,38a1acebd8,492d021982,a9e118bc28,-2.536011e-02,5.527344e-01,6.564194e-02,622830d41311cfd5,20260519_214708_f16CpuRepeat1_Float16_cpuOnly,audio/iPhone_3_phase1_20260519/debug/20260519_214708_f16CpuRepeat1_Float16_cpuOnly
Float16,cpuOnly,fixed262,f16CpuRepeat2,2,normal_loud,4911.9,25432.5,false,false,35f61dbe02,38a1acebd8,492d021982,a9e118bc28,-2.536011e-02,5.527344e-01,6.564194e-02,622830d41311cfd5,20260519_214829_f16CpuRepeat2_Float16_cpuOnly,audio/iPhone_3_phase1_20260519/debug/20260519_214829_f16CpuRepeat2_Float16_cpuOnly
Float16,cpuOnly,fixed262,f16CpuRepeat3,3,normal_loud,4911.9,25432.5,false,false,35f61dbe02,38a1acebd8,492d021982,a9e118bc28,-2.536011e-02,5.527344e-01,6.564194e-02,622830d41311cfd5,20260519_214950_f16CpuRepeat3_Float16_cpuOnly,audio/iPhone_3_phase1_20260519/debug/20260519_214950_f16CpuRepeat3_Float16_cpuOnly
Float16,cpuAndNE,fixed262,f16NeRepeat1,1,clipped,13289.5,71468.9,false,false,35f61dbe02,5e5d76e9e3,dc8df52b33,aa9e86ba74,-9.655762e-02,8.535156e-01,4.381835e-01,a6569a210208479a,20260519_215227_f16NeRepeat1_Float16_cpuAndNE,audio/iPhone_3_phase1_20260519/debug/20260519_215227_f16NeRepeat1_Float16_cpuAndNE
Float16,cpuAndNE,fixed262,f16NeRepeat2,2,clipped,13289.5,71468.9,false,false,35f61dbe02,5e5d76e9e3,dc8df52b33,aa9e86ba74,-9.655762e-02,8.535156e-01,4.381835e-01,a6569a210208479a,20260519_215344_f16NeRepeat2_Float16_cpuAndNE,audio/iPhone_3_phase1_20260519/debug/20260519_215344_f16NeRepeat2_Float16_cpuAndNE
Float16,cpuAndNE,fixed262,f16NeRepeat3,3,clipped,13289.5,71468.9,false,false,35f61dbe02,5e5d76e9e3,dc8df52b33,aa9e86ba74,-9.655762e-02,8.535156e-01,4.381835e-01,a6569a210208479a,20260519_215502_f16NeRepeat3_Float16_cpuAndNE,audio/iPhone_3_phase1_20260519/debug/20260519_215502_f16NeRepeat3_Float16_cpuAndNE
Float16,all,fixed262,f16AllRepeat1,1,clipped,13284.4,68336.4,false,false,35f61dbe02,5e5d76e9e3,dc8df52b33,b7ec0598c6,-9.655762e-02,8.535156e-01,4.381835e-01,a6569a210208479a,20260519_215702_f16AllRepeat1_Float16_all,audio/iPhone_3_phase1_20260519/debug/20260519_215702_f16AllRepeat1_Float16_all
Float16,all,fixed262,f16AllRepeat2,2,clipped,13284.4,68336.4,false,false,35f61dbe02,5e5d76e9e3,dc8df52b33,b7ec0598c6,-9.655762e-02,8.535156e-01,4.381835e-01,a6569a210208479a,20260519_215820_f16AllRepeat2_Float16_all,audio/iPhone_3_phase1_20260519/debug/20260519_215820_f16AllRepeat2_Float16_all
Float16,all,fixed262,f16AllRepeat3,3,clipped,13284.4,68336.4,false,false,35f61dbe02,5e5d76e9e3,dc8df52b33,b7ec0598c6,-9.655762e-02,8.535156e-01,4.381835e-01,a6569a210208479a,20260519_215939_f16AllRepeat3_Float16_all,audio/iPhone_3_phase1_20260519/debug/20260519_215939_f16AllRepeat3_Float16_all
Int8,cpuOnly,fixed262,int8CpuRepeat1,1,normal_loud,5607.9,28170.8,false,false,35f61dbe02,7cb99909a3,1803ce7f9b,47a001a228,-8.496094e-02,8.447266e-01,4.368263e-01,cf8c39b714841482,20260519_220058_int8CpuRepeat1_Int8_cpuOnly,audio/iPhone_3_phase1_20260519/debug/20260519_220058_int8CpuRepeat1_Int8_cpuOnly
Int8,cpuOnly,fixed262,int8CpuRepeat2,2,normal_loud,5607.9,28170.8,false,false,35f61dbe02,7cb99909a3,1803ce7f9b,47a001a228,-8.496094e-02,8.447266e-01,4.368263e-01,cf8c39b714841482,20260519_220218_int8CpuRepeat2_Int8_cpuOnly,audio/iPhone_3_phase1_20260519/debug/20260519_220218_int8CpuRepeat2_Int8_cpuOnly
Int8,cpuOnly,fixed262,int8CpuRepeat3,3,normal_loud,5607.9,28170.8,false,false,35f61dbe02,7cb99909a3,1803ce7f9b,47a001a228,-8.496094e-02,8.447266e-01,4.368263e-01,cf8c39b714841482,20260519_220337_int8CpuRepeat3_Int8_cpuOnly,audio/iPhone_3_phase1_20260519/debug/20260519_220337_int8CpuRepeat3_Int8_cpuOnly
Int8,cpuAndNE,fixed262,int8NeRepeat1,1,clipped,14154.9,87399.9,false,false,35f61dbe02,292c7215fa,0b61fb6512,1363b43e5e,-3.552246e-02,5.312500e-01,5.867743e-02,06ef0b2fae2d325f,20260519_220617_int8NeRepeat1_Int8_cpuAndNE,audio/iPhone_3_phase1_20260519/debug/20260519_220617_int8NeRepeat1_Int8_cpuAndNE
Int8,cpuAndNE,fixed262,int8NeRepeat2,2,clipped,14154.9,87399.9,false,false,35f61dbe02,292c7215fa,0b61fb6512,1363b43e5e,-3.552246e-02,5.312500e-01,5.867743e-02,06ef0b2fae2d325f,20260519_220734_int8NeRepeat2_Int8_cpuAndNE,audio/iPhone_3_phase1_20260519/debug/20260519_220734_int8NeRepeat2_Int8_cpuAndNE
Int8,cpuAndNE,fixed262,int8NeRepeat3,3,clipped,14154.9,87399.9,false,false,35f61dbe02,292c7215fa,0b61fb6512,1363b43e5e,-3.552246e-02,5.312500e-01,5.867743e-02,06ef0b2fae2d325f,20260519_220852_int8NeRepeat3_Int8_cpuAndNE,audio/iPhone_3_phase1_20260519/debug/20260519_220852_int8NeRepeat3_Int8_cpuAndNE
Int8,all,fixed262,int8AllRepeat1,1,clipped,14162.9,83202.4,false,false,35f61dbe02,292c7215fa,0b61fb6512,441db2c792,-3.552246e-02,5.312500e-01,5.867743e-02,06ef0b2fae2d325f,20260519_221054_int8AllRepeat1_Int8_all,audio/iPhone_3_phase1_20260519/debug/20260519_221054_int8AllRepeat1_Int8_all
Int8,all,fixed262,int8AllRepeat2,2,clipped,14162.9,83202.4,false,false,35f61dbe02,292c7215fa,0b61fb6512,441db2c792,-3.552246e-02,5.312500e-01,5.867743e-02,06ef0b2fae2d325f,20260519_221212_int8AllRepeat2_Int8_all,audio/iPhone_3_phase1_20260519/debug/20260519_221212_int8AllRepeat2_Int8_all
Int8,all,fixed262,int8AllRepeat3,3,clipped,14162.9,83202.4,false,false,35f61dbe02,292c7215fa,0b61fb6512,441db2c792,-3.552246e-02,5.312500e-01,5.867743e-02,06ef0b2fae2d325f,20260519_221330_int8AllRepeat3_Int8_all,audio/iPhone_3_phase1_20260519/debug/20260519_221330_int8AllRepeat3_Int8_all
Float32,cpuAndGPU,fixed262,warmupDummy,,clipped,8441.4,33162.5,false,false,35f61dbe02,7a86f45193,455c1659ba,3357552975,inf,-inf,nan,7da2ba4c61556304,20260519_221448_warmupDummy_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_221448_warmupDummy_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,warmupReal,,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-6.953289e-02,7.508568e-01,2.920010e-01,d4612982e40a8001,20260519_221614_warmupReal_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_221614_warmupReal_Float32_cpuAndGPU
